Bank,Kredit(for),Procent,Term,Amount,Details
Tenge Bank,Автомобили с пробегом,"
25.9 %
","
4 года ","
от 250 000 000 - до 300 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://tengebank.uz/ru/credit/avtokredit-na-vtorichnom-rynke
Турон банк,Автокредиты,"
24.9 %
","
4 года ","
Не указано ",/credit/avtokredity
Турон банк,Микрозайм,"
29 %
","
3 года ","
до 20 000 000 сум ",/credit/mikrozaym19012
Турон банк,Образовательные кредиты,"
14 %
","
7.5 лет ","
Не указано ",/credit/obrazovatelnye-kredity-uz-ta-lim-krediti
Asia Alliance Bank,Автокредит,"
от 22 - до 24 % ","
1 год - 4 года ","
до 400 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://aab.uz/ru/private/crediting/avtokredit/
Турон банк,Кредит на лечение в клинике и отдых в санатории,"
27 %
","
3 года ","
до 50 000 000 сум ",/credit/kredit-na-lechenie-v-klinike-i-otdykh-v-sanatorii
Турон банк,Онлайн микрозайм,"
33 %
 ","
1 год ","
до 10 000 000 сум ",/credit/onlayn-mikrozaym-112
Tenge Bank,Выгодный автокредит,"
от 6.9 - до 23.5 % ","
4 года ","
до 400 000 000 сум ",http://cab.adcaravan.uz/delivery-ck.php?oaparams=2__bannerid=1618__zoneid=1711__cb=06fa6fd193__oadest=https://tengebank.uz/ru/credit/vygodnyj-avtokredit
MKBank,Онлайн микрозайм,"
24 %
","
3 месяца ","
до 1 500 000 сум ",/credit/onlayn-mikrozaym2
Ипотека банк,Онлайн микрозайм,"
26 %
","
2 года ","
от 1 000 000 - до 50 000 000 сум ",/credit/onlayn-mikrozaym
TBC Bank,TBC Кредит,"
от 28 - до 49 % ","
3 месяца - 3 года ","
до 50 000 000 сум ",/credit/tbc-kredit-
Трастбанк,Автокредит,"
от 22 - до 24 % ","
3 года - 4 года ","
Не указано ",/credit/avtokredit19047
Ипак Йули Банк,"Автокредит (Chevrolet, Isuzu, Skoda, Volkswagen) ","
от 18 - до 26.9 % ","
4 года ","
до 450 000 000 сум ",/credit/avtokredit19014
Агробанк,Онлайн микрозайм,"
27.99 %
","
1 год ","
до 10 000 000 сум ",/credit/onlayn-mikrozaym3
НБУ,Автокредит,"
от 22 - до 26 % ","
5 лет ","
Не указано ",/credit/avtokredit19015
Пойтахт банк,Быстрый и удобный Кредит,"
от 26 - до 28 % ","
1 год - 2 года ","
до 50 000 000 сум ",/credit/bystryy-i-udobnyy-kredit
Garant Bank (Savdogarbank),Микрозайм на пластиковую карту,"
от 28 - до 28.9 % ","
1 год - 2 года ","
до 50 000 000 сум ",/credit/mikrozaym-na-plastikovuyu-kartu
Hamkorbank,Микрозайм,"
от 27.99 - до 32 % ","
1 год - 3 года ","
от 3 000 000 - до 50 000 000 сум ",/credit/mikrozaym
Трастбанк,Микрозайм,"
от 24 - до 28 % ","
1 год - 3 года ","
до 50 000 000 сум ",/credit/mikrozaym19010
Ипотека банк,Автокредит,"
от 26 - до 29 % ","
4 года ","
до 270 000 000 сум ",/credit/avtokredit19036
Узпромстройбанк,Микрозайм на любые цели,"
26.9 %
 ","
1 год ","
до 30 000 000 сум ",/credit/kredit-na-lyubye-tseli-s-onlayn-mikrozaymom-uz-har-qanday-maqsadlar-uchun-kredit
Ziraat Bank,Микрозайм,"
от 23.75 - до 26 % ","
1 год - 3 года ","
до 50 000 000 сум ",/credit/mikrozaym19013
Узпромстройбанк,Автокредит,"
от 21 - до 25 % ","
1 год - 4 года ","
до 500 000 000 сум ",/credit/avtokredit19038
MKBank,Микрозайм,"
от 26 - до 28 % ","
3 года ","
до 50 000 000 сум ",/credit/mikrozaym19003
Трастбанк,Онлайн микрозайм,"
30 %
","
1 год ","
до 10 000 000 сум ",/credit/onlayn-mikrozaym19011
Ипак Йули Банк,Микрозайм под залог,"
26.9 %
","
1 год - 5 лет ","
до 50 000 000 сум ",/credit/mikrozaym-pod-zalog-uz-garov-asosida-mikroqarz
Алокабанк,"Автокредит (Kia, Renault, Lada, HYUNDAI)","
от 22 - до 25 % ","
3 года - 5 лет ","
до 270 000 000 сум ",/credit/avtokredit6
Anorbank,Доступные деньги 2.0,"
от 24 % ","
3 года ","
до 50 000 000 сум ",/credit/dostupnye-dengi-2-0
Давр банк,ONLINE 50,"
от 32 - до 42 % ","
3 года - 4 года ","
от 5 000 000 - до 50 000 000 сум ",/credit/onlayn-uz-onlayn
Народный банк,"Микрозайм ""Хамён""","
24 %
","
2 года ","
до 25 000 000 сум ",/credit/mikrozaym-khamyen
